lpermno,datadate,fyear,BE,MKTV.end.of.current.fiscal.year,MKTV.end.of.subsequent.fiscal.year,MKTV.june.of.current.fiscal.year,FF.49
10104,31/05/2011,2010,39835,158140.746,128912.7191,107857.96,36 Softw
10104,31/05/2012,2011,43736,128912.7191,157746.776,166706.0987,36 Softw
10104,31/05/2013,2012,44821,157746.776,172070.8683,145010.4282,36 Softw
10104,31/05/2014,2013,47136,172070.8683,197479.774,142678.66,36 Softw
10104,31/05/2015,2014,49043,197479.774,153470.5666,180556.6512,36 Softw
10107,30/06/2010,2010,46404,234527.73,217824.4152,199118.5767,36 Softw
10107,30/06/2011,2011,58539,217824.4152,223667.0278,217776,36 Softw
10107,30/06/2012,2012,68256,223667.0278,310503,256374.79,36 Softw
10107,30/06/2013,2013,80653,310503,381726.1,287690.76,36 Softw
10107,30/06/2014,2014,92512,381726.1,439679,343566.3,36 Softw
10138,31/12/2010,2010,3296.5,16700.3704,14423.8404,11416.48654,48 Fin
10138,31/12/2011,2011,3420.7,14423.8404,16736.26681,15478.29612,48 Fin
10138,31/12/2012,2012,3846.1,16736.26681,21953.85521,15974.08528,48 Fin
10138,31/12/2013,2013,4821,21953.85521,22501.58778,19036.026,48 Fin
10138,31/12/2014,2014,5395.2,22501.58778,17906.02881,22201.26497,48 Fin
10147,31/12/2010,2010,18356.273,47183.0684,43940.67378,37617.6264,35 Hardw
10147,31/12/2011,2011,19681.756,43940.67378,53298.3715,56685.9984,35 Hardw
10147,31/12/2012,2012,22989.693,53298.3715,51754.85205,53815.5673,35 Hardw
10147,31/12/2013,2013,22722,51754.85205,60518.19366,49621.8408,35 Hardw
10147,31/12/2014,2014,22170,60518.19366,49789.33416,53925.882,35 Hardw
10225,31/12/2010,2010,6328.4,9193.00525,7964.16457,5968.05432,4 Beer
10225,31/12/2011,2011,4470.1,7964.16457,9720.21317,9831.03828,4 Beer
10225,31/12/2012,2012,5065.1,9720.21317,11098.47614,9848.23653,4 Beer
10299,30/06/2010,2010,148.45,7826.95602,6853.86702,6235.86411,37 Chips
10299,30/06/2011,2011,615.735,6853.86702,7939.3867,7519.77668,37 Chips
10299,30/06/2012,2012,834.325,7939.3867,10709.6249,7206.96522,37 Chips
10299,30/06/2013,2013,1029.934,10709.6249,10896.3024,8584.641,37 Chips
10299,30/06/2014,2014,1399.368,10896.3024,10169.73879,11254.24872,37 Chips
10516,30/06/2010,2010,15048,19217.90144,19104.2566,16603.551,2 Food
10516,30/06/2011,2011,19667,19104.2566,18038.12274,19232.082,2 Food
10516,30/06/2012,2012,18752,18038.12274,28555.898,19439.68752,2 Food
10516,31/12/2013,2013,21604,28555.898,33476.976,22347.7073,2 Food
10516,31/12/2014,2014,21237,33476.976,21888.4232,28868.53937,2 Food
10696,31/12/2010,2010,3856,8602.464,8229.474,6853.566,34 BusSv
10696,31/12/2011,2011,3875,8229.474,10542.602,8862.145,34 BusSv
10696,31/12/2012,2012,4055,10542.602,15158.135,9793.032,34 BusSv
10696,31/12/2013,2013,4298,15158.135,17054.091,11459.451,34 BusSv
10696,31/12/2014,2014,4011,17054.091,20605.938,15025.712,34 BusSv
10909,31/12/2010,2010,1905.297,7886.06286,10385.9175,6238.76512,36 Softw
10909,31/12/2011,2011,2310.681,10385.9175,13338.61839,10316.83464,36 Softw
10909,31/12/2012,2012,2833.65,13338.61839,19161.57258,14148.25092,36 Softw
10909,31/12/2013,2013,3167.664,19161.57258,22079.57952,16484.62386,36 Softw
10909,31/12/2014,2014,3565.968,22079.57952,20455.33303,17589.39896,36 Softw
11081,31/01/2011,2010,7766,26155.44305,26282.92667,23616.74826,35 Hardw
11081,31/01/2012,2011,9154,26282.92667,17615.93808,31459.1239,35 Hardw
11308,31/12/2010,2010,35264,152720.1762,158918.103,115629.3961,3 Soda
11308,31/12/2011,2011,36329,158918.103,162587.1225,154043.9017,3 Soda
11308,31/12/2012,2012,37771,162587.1225,182421.7791,176392.7305,3 Soda
11308,31/12/2013,2013,39325,182421.7791,184928.3709,178640.1131,3 Soda
11308,31/12/2014,2014,35956,184928.3709,186832.3956,186179.9519,3 Soda
11404,31/12/2010,2010,17663,14401.86952,18168.89715,12152.9501,31 Util
11404,31/12/2011,2011,18999,18168.89715,16266.16642,15576.85272,31 Util
11404,31/12/2012,2012,20241,16266.16642,16190.84864,18215.69976,31 Util
